symbol	alias
FCGR3A	CD16
ZNF663P	ZNF663
MEX3A	RKHD4
CCDC174	C3orf19
IGLV3-25	IGLV325
GADD45GIP1	PLINP-1
USF2	FIP
ZFAS1	HSUP1
SNRNP70	U1AP
TRV-AAC3-1	TRNAV8
SNHG3	RNU17C
NUFIP2	182-FIP
HCAR2	HM74a
FOXC2-AS1	ODRUL
SERPINB7	TP55
TRAV30	TCRAV30S1
TRPM7	CHAK
NMTRL-TAA4-1	TRNAL37
SHQ1	Shq1p
VPS8	KIAA0804
C6orf1	LBH
ELL	MEN
ADGRE4P	GPR127
MIR1539	hsa-mir-1539
PTMAP6	dJ539E24.2
MRPS18B	MRP-S18-2
STAG2	SCC3B
IL27	IL-27A
MAGEA6	MAGE6
GJA1	AVSD3
PRDX6	p29
ASAH1	PHP32
NR1H4	RIP14
INPP5K	PPS
GAPDHP66	GAPDHL11
CES1	TGH
EQTN	C9orf11
SNHG19	SNORD60HG
HDLBP	HBP
OR12D2	HS6M1-20
CD209	CLEC4L
ZBTB11	ZNF913
KIFC1	KNSL2
ZMYM2	FIM
EIF4E2	IF4e
COLEC11	CL-K1-I
ZNF703	NLZ1
INO80B	hIes2
MTX1P1	MTX1P
SLC13A4	NAS2
ADAM7	ADAM-7
MIR511	hsa-mir-511
FOXJ1	FKHL13
CHRNA1	CMS1A
SLC50A1	SWEET1
MIR132	MIRN132
BCAR1	CASS1
MSX1	HYD1
FAM150A	AUGB
SCAF11	CASP11
NEUROG1	ngn1
SMARCE1	CSS5
OR2S2	OR37A
CDHR1	CORD15
GSDMD	DF5L
PRDX1	PAG
RFTN1	PIG9
BUB1B	MAD3L
TBPL1	TLF
CSF2RB	CD131
CNTNAP2	CASPR2
LRRN1	NLRR-1
MASP2	MASP1P1
COX6B1P3	COX6BP-3
NCOA6	ASC2
ZSCAN2	ZFP29
ELOVL1	Ssc1
COLEC11	CLK1
TUBB6	TUBB-5
CRIP3	TLP
WAS	IMD2
ZNF285	ZNF285A
SIGLEC10	SLG2
MUC5B	MUC-5B
ACVRL1	HHT2
LMTK2	BREK
RPL13AP12	RPL13A_3_312
HNRNPA1	hnRNP A1
FBXO18	hFBH1
IGLJCOR18	IGLJ-C/OR18
ARVD3	ARVD2
SLC47A2	MATE2K
FILIP1L	DOC1
SCARNA12	U89
TRA-AGC18-1	TRNAA33
AKR1E2	htAKR
GRM3	GLUR3
RPS14P1	RPS14_1_156
USP12P1	UBH1
ZNF295-AS1	NCRNA00318
SPATS2	P59SCR
FAM92A1P1	FAM92A2
SDHAP1	SDHALP1
SCN2A	BFNIS
CD40LG	gp39
FBXO39	CT144
MRPS10	PNAS-122
HDLCQ14	HDLD3
GTSF1	FAM112B
SSBP1	SSBP
ARHGEF15	E5
GPCPD1	GDPD6
RNA5SP408	RN5S408
PROKR2	dJ680N4.3
GPR88	COCPMR
PRKG1	PRKGR1B
TRE-CTC15-1	TRNAE41P
PCDHA10	CNRS8
EZR	CVL
DGCR6L	DGCR6
GABPA	NFT2
DLG5	LP-DLG
RARS2	RARSL
APOBR	APOB100R
GAS8	DRC4
CYP26C1	FFDD4
KIF22	SEMDJL2
RNA5SP334	RN5S334
FCF1	CGI-35
POTEE	POTE-2
MIR548I3	MIRN548I3
CXXC1	HsT2645
STMN1	PP19
OR7E110P	OR7E74P
FAAP20	FP7162
MSH5	MUTSH5
TRPV4	OTRPC4
ZNF3	KOX25
SCN1A	NAC1
DIP2C	KIAA0934
KLF6	PAC1
TRBV29-1	TCRBV29S1
POU2F3	PLA-1
DTWD1	MDS009
SMARCD2	Rsc6p
MYLPF	MYL11
HLA-DPA2	HLA-DP2A
IFT172	wim
GGTLC3	GGT
KCNK1	K2P1
ACOT12	THEAL
IRGM	LRG47
TPH2	ADHD7
C1QBP	gC1qR
RNPC3	RBM40
VSTM1	SIRL-1
SLC16A10	TAT1
FOXL2	PINTO
LTBR	TNFR3
TMEM63A	KIAA0792
PCP4L1	IQM1
IDI2-AS1	C10orf110
MLLT10P1	bA348I14.3
RPL21P59	RPL21_22_635
CDC42	G25K
ATM	ATD
GAL3ST1	CST
BEX3	NGFRAP1
FBN2	EOMD
RNA5SP391	RN5S391
ZFYVE27	SPG33
MAGEA7P	MAGE7
TJP1P1	TJP1P
MMP15	MT2MMP
RPL32P24	RPL32_15_1162
SALL1P1	SALL1P
PMP2	MP2
NDUFC1	KFYI
PEX11B	PEX11-BETA
GPR176	HB-954
PIP4K2B	PIP5P4KB
BRD7P3	BP75
TMIGD2	IGPR-1
KCTD12	PFET1
