PROBEID	SYMBOL	ENTREZID	GENENAME
1007_s_at	DDR1	780	discoidin domain receptor tyrosine kinase 1
1053_at	RFC2	5982	replication factor C subunit 2
117_at	HSPA6	3310	heat shock 70kDa protein 6 (HSP70B')
121_at	PAX8	7849	paired box 8
1255_g_at	GUCA1A	2978	guanylate cyclase activator 1A (retina)
1294_at	UBA7	7318	ubiquitin-like modifier activating enzyme 7
1316_at	THRA	7067	"thyroid hormone receptor, alpha"
1320_at	PTPN21	11099	"protein tyrosine phosphatase, non-receptor type 21"
1405_i_at	CCL5	6352	chemokine (C-C motif) ligand 5
1431_at	CYP2E1	1571	"cytochrome P450, family 2, subfamily E, polypeptide 1"
1438_at	EPHB3	2049	EPH receptor B3
1487_at	ESRRA	2101	estrogen-related receptor alpha
1494_f_at	CYP2A6	1548	"cytochrome P450, family 2, subfamily A, polypeptide 6"
1598_g_at	GAS6	2621	growth arrest-specific 6
160020_at	MMP14	4323	matrix metallopeptidase 14 (membrane-inserted)
1729_at	TRADD	8717	TNFRSF1A-associated via death domain
1773_at			
177_at	PLD1	5337	"phospholipase D1, phosphatidylcholine-specific"
179_at	DTX2P1-UPK3BP1-PMS2P11	441263	DTX2P1-UPK3BP1-PMS2P11 readthrough transcribed pseudogene
1861_at	BAD	572	BCL2-associated agonist of cell death
200000_s_at	PRPF8	10594	pre-mRNA processing factor 8
200001_at	CAPNS1	826	"calpain, small subunit 1"
200002_at	RPL35	11224	ribosomal protein L35
200003_s_at	RPL28	6158	ribosomal protein L28
200004_at	EIF4G2	1982	"eukaryotic translation initiation factor 4 gamma, 2"
200005_at	EIF3D	8664	"eukaryotic translation initiation factor 3, subunit D"
200006_at	PARK7	11315	parkinson protein 7
200007_at	SRP14	6727	signal recognition particle 14kDa
200008_s_at	GDI2	2665	GDP dissociation inhibitor 2
200009_at	GDI2	2665	GDP dissociation inhibitor 2
200010_at	RPL11	6135	ribosomal protein L11
200011_s_at	ARF3	377	ADP-ribosylation factor 3
200012_x_at			
200013_at			
200014_s_at	HNRNPC	3183	heterogeneous nuclear ribonucleoprotein C (C1/C2)
200015_s_at	SEPT2	4735	septin 2
200016_x_at	HNRNPA1	3178	heterogeneous nuclear ribonucleoprotein A1
200017_at	RPS27A	6233	ribosomal protein S27a
200018_at	RPS13	6207	ribosomal protein S13
200019_s_at	FAU	2197	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed
200020_at	TARDBP	23435	TAR DNA binding protein
200021_at	CFL1	1072	cofilin 1 (non-muscle)
200022_at	RPL18	6141	ribosomal protein L18
200023_s_at	EIF3F	8665	"eukaryotic translation initiation factor 3, subunit F"
200024_at	RPS5	6193	ribosomal protein S5
200025_s_at	RPL27	6155	ribosomal protein L27
200026_at	RPL34	6164	ribosomal protein L34
200027_at	NARS	4677	asparaginyl-tRNA synthetase
200028_s_at	STARD7	56910	StAR-related lipid transfer domain containing 7
