PROBEID	SYMBOL	ENTREZID	GENENAME
1007_s_at	DDR1	780	discoidin domain receptor tyrosine kinase 1
1053_at	RFC2	5982	replication factor C subunit 2
117_at	HSPA6	3310	heat shock 70kDa protein 6 (HSP70B')
121_at	PAX8	7849	paired box 8
1255_g_at	GUCA1A	2978	guanylate cyclase activator 1A (retina)
1294_at	UBA7	7318	ubiquitin-like modifier activating enzyme 7
1316_at	THRA	7067	"thyroid hormone receptor, alpha"
1320_at	PTPN21	11099	"protein tyrosine phosphatase, non-receptor type 21"
1405_i_at	CCL5	6352	chemokine (C-C motif) ligand 5
1431_at	CYP2E1	1571	"cytochrome P450, family 2, subfamily E, polypeptide 1"
1438_at	EPHB3	2049	EPH receptor B3
1487_at	ESRRA	2101	estrogen-related receptor alpha
1494_f_at	CYP2A6	1548	"cytochrome P450, family 2, subfamily A, polypeptide 6"
1552256_a_at	SCARB1	949	"scavenger receptor class B, member 1"
1552257_a_at	TTLL12	23170	tubulin tyrosine ligase-like family member 12
1552258_at			
1552261_at	WFDC2	10406	WAP four-disulfide core domain 2
1552263_at	MAPK1	5594	mitogen-activated protein kinase 1
1552264_a_at	MAPK1	5594	mitogen-activated protein kinase 1
1552266_at	ADAM32	203102	ADAM metallopeptidase domain 32
1552269_at	SPATA17	128153	spermatogenesis associated 17
1552271_at	PRR22	163154	proline rich 22
1552272_a_at	PRR22	163154	proline rich 22
1552274_at	PXK	54899	PX domain containing serine/threonine kinase
1552275_s_at	PXK	54899	PX domain containing serine/threonine kinase
1552276_a_at	VPS18	57617	VPS18 CORVET/HOPS core subunit
1552277_a_at	MSANTD3	91283	Myb/SANT-like DNA-binding domain containing 3
1552278_a_at	SLC46A1	113235	"solute carrier family 46 (folate transporter), member 1"
1552279_a_at	SLC46A1	113235	"solute carrier family 46 (folate transporter), member 1"
1552280_at	TIMD4	91937	T-cell immunoglobulin and mucin domain containing 4
1552281_at	SLC39A5	283375	"solute carrier family 39 (zinc transporter), member 5"
1552283_s_at			
1552286_at	ATP6V1E2	90423	"ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E2"
1552287_s_at	AFG3L1P	172	"AFG3-like AAA ATPase 1, pseudogene"
1552288_at	CILP2	148113	cartilage intermediate layer protein 2
1552289_a_at	CILP2	148113	cartilage intermediate layer protein 2
1552291_at	PIGX	54965	phosphatidylinositol glycan anchor biosynthesis class X
1552293_at	TMEM196	256130	transmembrane protein 196
1552295_a_at	SLC39A13	91252	"solute carrier family 39 (zinc transporter), member 13"
1552296_at	BEST4	266675	bestrophin 4
1552299_at	AK9	221264	adenylate kinase 9
1552301_a_at	CORO6	84940	coronin 6
1552302_at	TMEM106A	113277	transmembrane protein 106A
1552303_a_at	TMEM106A	113277	transmembrane protein 106A
1552304_at	ALG10	84920	"ALG10, alpha-1,2-glucosyltransferase"
1552306_at	ALG10	84920	"ALG10, alpha-1,2-glucosyltransferase"
